Day,Publisher ID,Site ID,Section ID,Ads Requested,Ads Returned,CTR,Clicks,Conversions,Fill Rate,Impressions,Publisher Page Views,Publisher Revenue,Publisher Revenue USD,Publisher eCPM,Revenue,Revenue USD,Section Page Views,Video 100% Complete,Video 100% Rate,Video 25% Complete,Video 25% Rate,Video 50% Complete,Video 50% Rate,Video 75% Complete,Video 75% Rate,Video Start Rate,Video Starts,Video View Rate,Video Views,eCPM
2018-04-29,1511210,109222,5553191,245613300,8032239,0.0064179554,1897,0,0.0327027852,295577,0,0.0,0.0,0.0,92.48721,104.951446,24561330,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.3129039472
2018-05-02,1511210,109222,5553191,242937120,7867988,0.0054857304,1793,0,0.0323869321,326848,0,0.0,0.0,0.0,83.03426,84.937854,24293712,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.254045489
2018-05-04,1024717,68570,5556829,239146260,237149054,0.0031001472,28688,0,0.9916486003,9253754,0,0.0,0.0,0.0,4819.533522,4819.533522,12139008,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5208192829
2018-05-03,1511210,109222,5553191,235946450,8016759,0.0056532567,3321,0,0.0339770274,587449,0,0.0,0.0,0.0,350.47397,237.80271,23594645,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5966032285
2018-05-02,1511210,83130,5528021,235272250,2244388,0.00196772,84,0,0.0095395356,42689,0,0.0,0.0,0.0,5.66219,7.483273,23527225,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.1326381503
2018-04-27,1511210,109222,5553191,232320500,7192918,0.0074396841,1873,0,0.0309611851,251758,0,0.0,0.0,0.0,69.15682,72.979617,23232050,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2746956204
2018-04-27,1511210,83130,5528021,231462050,1845542,0.0019171214,78,0,0.0079734108,40686,0,0.0,0.0,0.0,5.46226,11.400561,23146205,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.1342540432
2018-05-03,1511210,83130,5528021,229234880,2031782,0.0016717935,25,0,0.0088633196,14954,0,0.0,0.0,0.0,1.66581,0.851552,22923488,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.1113956132
2018-05-03,1511210,81255,5523016,228998580,2484646,0.0135186676,319,0,0.0108500498,23597,0,0.0,0.0,0.0,17.68398,14.578327,22899858,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7494164512
2018-04-28,1511210,83130,5528021,228691430,2278093,0.0015692595,74,0,0.0099614271,47156,0,0.0,0.0,0.0,7.19693,7.750621,22869143,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.152619603
2018-04-28,1511210,81255,5523016,227757620,6050078,0.0115259618,1830,0,0.0265636689,158772,0,0.0,0.0,0.0,210.53251,325.723989,22775762,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.326005278
2018-05-02,1511210,81255,5523016,226928400,2607441,0.0127698417,1357,0,0.0114901484,106266,0,0.0,0.0,0.0,145.6507,206.489755,22692840,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3706237178
2018-04-28,1511210,109222,5553191,226146040,7694732,0.0055812687,3444,0,0.0340254996,617064,0,0.0,0.0,0.0,185.37021,171.93288,22614604,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.3004067811
2018-05-01,1511210,81255,5523016,224784280,2584916,0.0132321213,1337,0,0.0114995408,101042,0,0.0,0.0,0.0,133.7384,190.921158,22478428,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3235921696
2018-04-28,1117031,40837,5531671,203987225,75164878,0.0340502114,131004,0,0.3684783594,3847377,0,1952.987615,1952.987615,0.5076153481,3653.706948,3653.706948,40797445,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.949661795
2018-05-03,1024717,68570,5556829,200799560,199131795,0.0028030591,21008,0,0.9916943792,7494669,0,0.0,0.0,0.0,3852.037523,3852.037523,10192816,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5139703332
2018-04-29,1117031,40837,5531671,198205510,70708057,0.0356163756,122771,0,0.3567411269,3447038,0,1610.248382,1610.248382,0.4671397246,3012.790849,3012.790849,39641102,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.874023103
2018-05-02,1117031,40837,5531671,197511950,67567771,0.0355323806,143285,0,0.3420945973,4032519,0,1551.956302,1551.956302,0.3848602578,2876.077082,2876.077082,39502390,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7132209624
2018-04-29,1009954,27807,5558736,196787380,190012,0.0096974005,191,0,0.00096557,19696,0,44.133301,44.133301,2.2407240556,85.374084,85.374084,39357476,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,4.3345899675
2018-05-03,1004702,24348,5454931,196003254,1561674,0.0053121713,2944,0,0.0079675922,554199,0,775.765581,775.765581,1.3997960678,1205.087011,1205.087011,65334418,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2.1744662314
2018-05-01,1004582,51662,5492522,194899755,3525623,0.0041397267,6452,0,0.0180894173,1558557,0,200.413972,200.413972,0.1285894401,377.319095,377.319095,38979951,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2420951528
2018-05-01,1117031,40837,5531671,194322020,68676021,0.0351712015,132577,0,0.3534134783,3769476,0,1448.373864,1448.373864,0.3842374548,2687.953242,2687.953242,38864404,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7130840578
2018-04-30,1117031,40837,5531671,193951165,66027030,0.0366221563,122583,0,0.3404312111,3347236,0,1570.916399,1570.916399,0.4693174903,2938.933206,2938.933206,38790233,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.8780179246
2018-04-28,1009954,27807,5558736,192284700,269568,0.0100075815,264,0,0.0014019212,26380,0,53.48198,53.48198,2.027368461,104.968754,104.968754,38456940,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,3.9791036391
2018-04-27,1004582,51662,5492522,192165400,3969699,0.0038468078,6561,0,0.0206577199,1705570,0,264.710136,264.710136,0.1552033256,502.712705,502.712705,38433080,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.294747624
2018-04-29,1004582,51662,5492522,191587725,3210116,0.0037585907,5300,0,0.0167553323,1410103,0,185.244797,185.244797,0.1313696921,350.939974,350.939974,38317545,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2488754183
2018-04-30,1024717,68570,5556829,191245510,189773705,0.0029517112,21544,0,0.9923041069,7298817,0,0.0,0.0,0.0,4012.851323,4012.851323,9711325,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5497947576
2018-05-03,1004582,51662,5492522,191140075,3861978,0.0042958439,7221,0,0.0202049623,1680927,0,247.796366,247.796366,0.1474164946,470.980033,470.980033,38228015,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2801906525
2018-05-03,1117031,40837,5531671,190405905,73539982,0.0334528998,157808,0,0.3862274229,4717319,0,1387.438568,1387.438568,0.2941159095,2579.952703,2579.952703,38081181,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5469107989
2018-04-28,1004582,51662,5492522,186689125,3538576,0.0039210275,6024,0,0.0189543767,1536332,0,221.364226,221.364226,0.144086191,421.629424,421.629424,37337825,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2744390041
2018-04-30,1004582,51662,5492522,185218290,4610666,0.0047209816,9530,0,0.0248931464,2018648,0,269.246422,269.246422,0.1333795798,506.469461,506.469461,37043658,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.250895382
2018-04-27,1024717,68570,5556829,183253560,181646156,0.0029818651,20786,0,0.9912285251,6970805,0,0.0,0.0,0.0,3830.110368,3830.110368,9310397,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.5494502239
2018-05-02,1004702,24348,5454931,182358075,3365950,0.0047425261,5264,0,0.0184579158,1109957,0,1232.374105,1232.374105,1.1102899527,1913.682823,1913.682823,60786025,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.7241053689
2018-05-01,1004702,24348,5454931,180528885,5654887,0.0048516883,8408,0,0.0313240011,1733005,0,1687.938201,1687.938201,0.9739949977,2621.175134,2621.175134,60176295,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.5125029264
2018-05-02,1004582,51662,5492522,180034645,6350492,0.0052577533,14910,0,0.0352737219,2835812,0,521.537611,521.537611,0.1839112081,949.122101,949.122101,36006929,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.334691475
2018-04-27,1004702,24348,5454931,179391159,7670469,0.0047759982,11104,0,0.0427583446,2324959,0,2155.469876,2155.469876,0.9271001665,3347.475418,3347.475418,59797053,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4397997634
2018-04-27,1117031,40837,5531671,175912735,71936214,0.0312745333,139150,0,0.4089312465,4449307,0,2267.66017,2267.66017,0.5096659255,4231.115509,4231.115509,35182547,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9509605673
2018-05-01,1024717,68570,5556829,175519840,174173944,0.0029793164,21212,0,0.9923319438,7119754,0,0.0,0.0,0.0,4411.916627,4411.916627,8888603,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6196726217
2018-04-29,1009954,27807,5558737,174077080,207317,0.0090707034,151,0,0.0011909494,16647,0,22.264304,22.264304,1.337436415,44.907562,44.907562,34815416,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2.6976369316
2018-04-28,1009954,27807,5558737,172245345,263432,0.0086841263,190,0,0.0015293998,21879,0,31.838347,31.838347,1.4552011975,64.752047,64.752047,34449069,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,2.9595524018
2018-04-28,1117031,40837,5475569,169134110,49784312,0.0161495329,34547,0,0.2943481478,2139195,0,1628.707665,1628.707665,0.7613647494,3032.547122,3032.547122,33826822,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4176113547
2018-04-28,1004702,24348,5454931,169032900,7562368,0.0049166114,10933,0,0.0447390301,2223686,0,2030.088447,2030.088447,0.9129384486,3152.695085,3152.695085,56344300,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4177788973
2018-05-01,1511210,74610,5509146,166371100,158839,0.0005758378,5,0,0.0009547271,8683,0,0.0,0.0,0.0,0.821,1.1564,16637110,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.094552574
2018-04-27,1117031,40837,5475569,166017765,49654536,0.0157060465,36908,0,0.2990917026,2349923,0,1775.080018,1775.080018,0.7553779498,3301.770685,3301.770685,33203553,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.4050548401
2018-04-30,1004702,24348,5454931,165825459,9191557,0.0046255905,12963,0,0.0554291063,2802453,0,2475.65867,2475.65867,0.8833898981,3844.768522,3844.768522,55275153,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3719297066
2018-05-01,1117031,40837,5475569,165052810,43019434,0.0160088965,34017,0,0.2606404217,2124881,0,1556.223539,1556.223539,0.7323815023,2878.721367,2878.721367,33010562,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.354768275
2018-05-01,1511210,109220,5553189,164843780,3649904,0.0137537118,2302,0,0.0221415937,167373,0,0.0,0.0,0.0,55.25478,58.734831,16484378,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.3301295908
2018-04-29,1004702,24348,5454931,164476185,5583126,0.005090157,8501,0,0.03394489,1670086,0,1624.638887,1624.638887,0.9727875612,2523.125566,2523.125566,54825395,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.5107758319
2018-04-29,1511210,83118,5528019,163867700,1101116,0.0181734741,396,0,0.0067195427,21790,0,0.0,0.0,0.0,20.58759,34.522092,16386770,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9448182653
2018-05-02,1511210,83118,5528019,163472030,1488987,0.0199357521,211,0,0.0091085123,10584,0,0.0,0.0,0.0,11.83601,16.487942,16347203,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.118292706
2018-04-30,1511210,83118,5528019,163197820,1929271,0.0167702476,340,0,0.0118216714,20274,0,0.0,0.0,0.0,21.12157,28.897976,16319782,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.0418057611
